,variable,Date,value
495,copper,2016-04-30,4895.49
496,copper,2016-05-31,4752.5
497,copper,2016-06-30,4757.35
498,copper,2016-07-31,4935.59
499,copper,2016-08-31,4801.55
500,copper,2016-09-30,4866.42
501,copper,2016-10-31,4782.9
502,copper,2016-11-30,5291.3
503,copper,2016-12-31,5217.75
504,copper,2017-01-31,5969.0
505,copper,2017-02-28,6086.32
506,copper,2017-03-31,5908.2
507,copper,2017-04-30,5947.86
508,copper,2017-05-31,5858.49
509,copper,2017-06-30,5963.86
510,copper,2017-07-31,6146.79
511,copper,2017-08-31,6460.04
512,copper,2017-09-30,6366.31
513,copper,2017-10-31,6615.77
514,copper,2017-11-30,6642.8
515,copper,2017-12-31,6623.81
516,copper,2018-01-31,6980.62
517,copper,2018-02-28,7012.85
518,copper,2018-03-31,6766.08
519,copper,2018-04-30,6871.43
520,copper,2018-05-31,6817.94
521,copper,2018-06-30,6829.28
522,copper,2018-07-31,6397.67
523,copper,2018-08-31,6287.52
524,copper,2018-09-30,6386.7
525,copper,2018-10-31,6336.65
526,copper,2018-11-30,6312.47
527,copper,2018-12-31,6274.7
528,copper,2019-01-31,6053.86
529,copper,2019-02-28,6205.75
530,copper,2019-03-31,6208.57
531,copper,2019-04-30,6295.82
532,copper,2019-05-31,6036.94
533,copper,2019-06-30,6020.88
534,copper,2019-07-31,6025.8
535,copper,2019-08-31,5879.09
536,copper,2019-09-30,5929.67
537,copper,2019-10-31,5952.19
538,copper,2019-11-30,6016.68
539,copper,2019-12-31,6139.25
540,copper,2020-01-31,6129.68
541,copper,2020-02-29,5995.6
542,copper,2020-03-31,5397.97
543,copper,2020-04-30,5511.42
544,copper,2020-05-31,5683.57
545,copper,2020-06-30,5905.57
546,copper,2020-07-31,6453.47
547,copper,2020-08-31,6432.66
548,copper,2020-09-30,6654.66
549,copper,2020-10-31,6697.62
550,copper,2020-11-30,6732.42
551,copper,2020-12-31,7129.8
552,copper,2021-01-31,8260.84
553,copper,2021-02-28,8727.92
554,copper,2021-03-31,8781.06
555,copper,2021-04-30,9148.09
556,copper,2021-05-31,9767.46
557,copper,2021-06-30,9075.75
558,copper,2021-07-31,9381.6
559,copper,2021-08-31,9160.73
560,copper,2021-09-30,9171.33
561,copper,2021-10-31,9529.33
562,copper,2021-11-30,9338.28
563,copper,2021-12-31,9264.91
564,copper,2022-01-31,9624.16
565,copper,2022-02-28,9735.16
566,copper,2022-03-31,10079.7
567,copper,2022-04-30,9972.0
568,copper,2022-05-31,9478.31
569,copper,2022-06-30,9218.89
570,copper,2022-07-31,9860.67
571,copper,2022-08-31,9631.88
572,copper,2022-09-30,9642.6
573,copper,2022-10-31,9831.83
574,copper,2022-11-30,9754.0
575,copper,2022-12-31,9695.0
576,fuel all EUR/L,2015-01-31,1.22
577,fuel all EUR/L,2015-02-28,1.18
578,fuel all EUR/L,2015-03-31,1.2
579,fuel all EUR/L,2015-04-30,1.22
580,fuel all EUR/L,2015-05-31,1.25
581,fuel all EUR/L,2015-06-30,1.23
582,fuel all EUR/L,2015-07-31,1.21
583,fuel all EUR/L,2015-08-31,1.17
584,fuel all EUR/L,2015-09-30,1.16
585,fuel all EUR/L,2015-10-31,1.18
586,fuel all EUR/L,2015-11-30,1.16
587,fuel all EUR/L,2015-12-31,1.13
588,fuel all EUR/L,2016-01-31,1.04
589,fuel all EUR/L,2016-02-29,1.03
590,fuel all EUR/L,2016-03-31,1.05
591,fuel all EUR/L,2016-04-30,1.05
592,fuel all EUR/L,2016-05-31,1.09
593,fuel all EUR/L,2016-06-30,1.11
594,fuel all EUR/L,2016-07-31,1.1
595,fuel all EUR/L,2016-08-31,1.09
596,fuel all EUR/L,2016-09-30,1.11
597,fuel all EUR/L,2016-10-31,1.08
598,fuel all EUR/L,2016-11-30,1.11
599,fuel all EUR/L,2016-12-31,1.14
600,fuel all EUR/L,2017-01-31,1.19
601,fuel all EUR/L,2017-02-28,1.19
602,fuel all EUR/L,2017-03-31,1.18
603,fuel all EUR/L,2017-04-30,1.18
604,fuel all EUR/L,2017-05-31,1.16
605,fuel all EUR/L,2017-06-30,1.15
606,fuel all EUR/L,2017-07-31,1.15
607,fuel all EUR/L,2017-08-31,1.15
608,fuel all EUR/L,2017-09-30,1.17
609,fuel all EUR/L,2017-10-31,1.17
610,fuel all EUR/L,2017-11-30,1.19
611,fuel all EUR/L,2017-12-31,1.19
612,fuel all EUR/L,2018-01-31,1.23
613,fuel all EUR/L,2018-02-28,1.2
614,fuel all EUR/L,2018-03-31,1.21
615,fuel all EUR/L,2018-04-30,1.23
616,fuel all EUR/L,2018-05-31,1.27
617,fuel all EUR/L,2018-06-30,1.28
618,fuel all EUR/L,2018-07-31,1.27
619,fuel all EUR/L,2018-08-31,1.28
620,fuel all EUR/L,2018-09-30,1.3
621,fuel all EUR/L,2018-10-31,1.27
622,fuel all EUR/L,2018-11-30,1.37
623,fuel all EUR/L,2018-12-31,1.3
624,fuel all EUR/L,2019-01-31,1.24
625,fuel all EUR/L,2019-02-28,1.25
626,fuel all EUR/L,2019-03-31,1.26
627,fuel all EUR/L,2019-04-30,1.27
628,fuel all EUR/L,2019-05-31,1.28
